Run ID,Name,Source Type,Source Name,User,Status,gamma,lambda_sparse,n_a,n_d,n_steps,verbose,mse_valid
cbba5f659e90457fa75a548d564dc54d,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,16,16,3,0,292.5801696777344
e4908fb28b40403bbaa96b22e56e52a4,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,8,8,3,0,599.0712280273438
072f292bcfde41469b0133fb293d21fc,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,4,4,3,0,626.6675415039062
b10a903f5597426aa8761afdec21d537,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,3,3,3,0,459.6834716796875
308819c270354b52bf439253169b0850,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,16,16,3,0,1969.49560546875
8a418edbf495468187513b5a0652fc20,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,8,8,3,0,590.8265380859375
3743ed4c8abb485fb5e5802384befbb5,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,4,4,3,0,427.0084533691406
b1b13dd9897545eca6ea98cd83b2bc0c,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,3,3,3,0,904.0171508789062
1b73faa48df64a47b1648cd0f67af73d,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,16,16,3,0,1024.746337890625
bc729e55b470409c86a1a3c369d4c208,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,8,8,3,0,671.5589599609375
4ee17660561a4587bafcd971da20f825,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,4,4,3,0,343.029541015625
